sector_id,line_code,from_station_id,to_station_id,seq,is_shared
SEC:XALP:S01_S02,XALP,S01,S02,1,0
SEC:XALP:S02_S03,XALP,S02,S03,2,0
SEC:XALP:S03_S04,XALP,S03,S04,3,0
SEC:XALP:S04_H01,XALP,S04,H01,4,0
SEC:XALP:H01_H02,XALP,H01,H02,5,0
SEC:XALP:H02_S05,XALP,H02,S05,6,0
SEC:XALP:S05_S06,XALP,S05,S06,7,0
SEC:XALP:S06_S07,XALP,S06,S07,8,0
SEC:XALP:S07_S08,XALP,S07,S08,9,0
SEC:YBET:S11_S12,YBET,S11,S12,10,0
SEC:YBET:S12_S13,YBET,S12,S13,11,0
SEC:YBET:S13_S14,YBET,S13,S14,12,0
SEC:YBET:S14_H01,YBET,S14,H01,13,0
SEC:YBET:H01_H02,YBET,H01,H02,14,0
SEC:YBET:H02_S15,YBET,H02,S15,15,0
SEC:YBET:S15_S16,YBET,S15,S16,16,0
SEC:YBET:S16_S17,YBET,S16,S17,17,0
SEC:YBET:S17_S18,YBET,S17,S18,18,0
