activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
JOB001,CTR001,Renewal,SEC:YBET:S15_S16:EB,SEC:YBET:S16_S17:EB,2,2027-05-24,,2
JOB002,CTR001,Renewal,SEC:YBET:S11_S12:WB,SEC:YBET:S12_S13:WB,1,2027-01-04,,3
JOB003,CTR001,Renewal,SEC:YBET:H01_H02:EB,SEC:YBET:S15_S16:EB,5,2027-03-15,,1
JOB004,CTR001,Renewal,SEC:XALP:S03_S04:EB,SEC:XALP:S04_H01:EB,3,2027-04-12,JOB003,2
JOB006,CTR001,Renewal,SEC:XALP:S03_S04:WB,SEC:XALP:H01_H02:WB,2,2027-01-11,,2
JOB007,CTR001,Renewal,SEC:YBET:H01_H02:EB,SEC:YBET:H01_H02:EB,7,2027-04-12,,1
JOB008,CTR002,Renewal,SEC:YBET:S17_S18:EB,SEC:YBET:S17_S18:EB,5,2027-04-19,,1
JOB009,CTR002,Renewal,SEC:XALP:S05_S06:EB,SEC:XALP:S05_S06:EB,7,2027-01-11,,3
JOB011,CTR002,Renewal,SEC:YBET:S15_S16:EB,SEC:YBET:S16_S17:EB,2,2027-04-12,,2
JOB012,CTR002,Renewal,SEC:YBET:H01_H02:WB,SEC:YBET:H02_S15:WB,7,2027-01-11,,1
JOB013,CTR002,Renewal,SEC:XALP:S05_S06:WB,SEC:XALP:S05_S06:WB,5,2027-05-24,JOB012,2
JOB014,CTR003,Construction,SEC:XALP:S07_S08:EB,SEC:XALP:S07_S08:EB,7,2027-03-29,,3
JOB017,CTR003,Construction,SEC:YBET:H01_H02:EB,SEC:YBET:S15_S16:EB,7,2027-04-26,,2
JOB019,CTR003,Construction,SEC:YBET:S16_S17:EB,SEC:YBET:S16_S17:EB,2,2027-03-15,,3
JOB020,CTR003,Construction,SEC:XALP:S04_H01:WB,SEC:XALP:H02_S05:WB,2,2027-03-29,,2
JOB021,CTR004,Renewal,SEC:YBET:S11_S12:WB,SEC:YBET:S12_S13:WB,3,2027-01-18,,2
JOB023,CTR004,Renewal,SEC:XALP:S03_S04:WB,SEC:XALP:S03_S04:WB,7,2027-05-24,,1
JOB025,CTR004,Renewal,SEC:XALP:S01_S02:EB,SEC:XALP:S02_S03:EB,7,2027-02-22,,1
JOB028,CTR005,Renewal,SEC:XALP:S03_S04:EB,SEC:XALP:S04_H01:EB,2,2027-03-01,,2
JOB031,CTR005,Renewal,SEC:XALP:S06_S07:WB,SEC:XALP:S07_S08:WB,2,2027-01-04,,3
JOB035,CTR006,Construction,SEC:XALP:S02_S03:WB,SEC:XALP:S03_S04:WB,3,2027-01-04,,1
JOB036,CTR006,Construction,SEC:YBET:S14_H01:EB,SEC:YBET:S14_H01:EB,7,2027-05-31,,1
JOB037,CTR006,Construction,SEC:YBET:S15_S16:EB,SEC:YBET:S16_S17:EB,2,2027-02-22,,1
JOB038,CTR006,Construction,SEC:YBET:S17_S18:EB,SEC:YBET:S17_S18:EB,3,2027-01-18,JOB037,3
JOB039,CTR006,Construction,SEC:YBET:S11_S12:WB,SEC:YBET:S13_S14:WB,7,2027-02-22,,2
JOB040,CTR007,Renewal,SEC:YBET:H01_H02:EB,SEC:YBET:S15_S16:EB,7,2027-03-29,,1
JOB041,CTR007,Renewal,SEC:YBET:S15_S16:EB,SEC:YBET:S15_S16:EB,2,2027-03-15,,3
JOB042,CTR007,Renewal,SEC:YBET:S15_S16:EB,SEC:YBET:S17_S18:EB,3,2027-06-07,,2
JOB043,CTR007,Renewal,SEC:YBET:H02_S15:EB,SEC:YBET:S16_S17:EB,2,2027-03-29,,3
JOB046,CTR007,Renewal,SEC:XALP:S05_S06:WB,SEC:XALP:S05_S06:WB,5,2027-03-01,,3
JOB047,CTR008,Renewal,SEC:XALP:H02_S05:EB,SEC:XALP:S05_S06:EB,2,2027-03-29,,3
JOB048,CTR008,Renewal,SEC:YBET:S13_S14:EB,SEC:YBET:S13_S14:EB,3,2027-01-04,,3
JOB049,CTR008,Renewal,SEC:YBET:H02_S15:WB,SEC:YBET:S15_S16:WB,5,2027-02-22,JOB048,2
JOB050,CTR008,Renewal,SEC:XALP:S03_S04:WB,SEC:XALP:S04_H01:WB,2,2027-04-26,,3
JOB051,CTR008,Renewal,SEC:YBET:S17_S18:WB,SEC:YBET:S17_S18:WB,2,2027-06-28,JOB050,1
JOB054,CTR009,Construction,SEC:XALP:S04_H01:EB,SEC:XALP:H02_S05:EB,2,2027-04-26,,2
JOB055,CTR009,Construction,SEC:YBET:S13_S14:EB,SEC:YBET:H01_H02:EB,1,2027-04-19,,1
JOB056,CTR009,Construction,SEC:XALP:H02_S05:WB,SEC:XALP:S06_S07:WB,2,2027-05-03,,2
