activity_id,week,location_id,co_share_group
A031,1,PLAT:ALP:S06:WB,g1
A031,1,PLAT:ALP:S07:WB,g1
A031,1,PLAT:ALP:S08:WB,g1
A031,1,SEC:ALP:S06_S07:WB,g1
A031,1,SEC:ALP:S07_S08:WB,g1
A002,1,PLAT:BET:S11:WB,g2
A002,1,PLAT:BET:S12:WB,g2
A002,1,PLAT:BET:S13:WB,g2
A002,1,SEC:BET:S11_S12:WB,g2
A002,1,SEC:BET:S12_S13:WB,g2
A035,1,PLAT:ALP:S02:WB,g3
A035,1,PLAT:ALP:S03:WB,g3
A035,1,PLAT:ALP:S04:WB,g3
A035,1,SEC:ALP:S02_S03:WB,g3
A035,1,SEC:ALP:S03_S04:WB,g3
A048,1,PLAT:BET:S13:EB,g4
A048,1,PLAT:BET:S14:EB,g4
A048,1,SEC:BET:S13_S14:EB,g4
A012,2,PLAT:BET:H01:WB,g5
A012,2,PLAT:BET:H02:WB,g5
A012,2,PLAT:BET:S15:WB,g5
A012,2,SEC:BET:H01_H02:WB,g5
A012,2,SEC:BET:H02_S15:WB,g5
A009,2,PLAT:ALP:S05:EB,g6
A009,2,PLAT:ALP:S06:EB,g6
A009,2,SEC:ALP:S05_S06:EB,g6
A031,2,PLAT:ALP:S06:WB,g7
A031,2,PLAT:ALP:S07:WB,g7
A031,2,PLAT:ALP:S08:WB,g7
A031,2,SEC:ALP:S06_S07:WB,g7
A031,2,SEC:ALP:S07_S08:WB,g7
A058,2,PLAT:ALP:H01:WB,g8
A058,2,PLAT:ALP:H02:WB,g8
A058,2,PLAT:ALP:S03:WB,g8
A058,2,PLAT:ALP:S04:WB,g8
A058,2,SEC:ALP:H01_H02:WB,g8
A058,2,SEC:ALP:S03_S04:WB,g8
A058,2,SEC:ALP:S04_H01:WB,g8
A035,2,PLAT:ALP:S02:WB,g9
A035,2,PLAT:ALP:S03:WB,g9
A035,2,PLAT:ALP:S04:WB,g9
A035,2,SEC:ALP:S02_S03:WB,g9
A035,2,SEC:ALP:S03_S04:WB,g9
A048,2,PLAT:BET:S13:EB,g10
A048,2,PLAT:BET:S14:EB,g10
A048,2,SEC:BET:S13_S14:EB,g10
A021,3,PLAT:BET:S11:WB,g11
A021,3,PLAT:BET:S12:WB,g11
A021,3,PLAT:BET:S13:WB,g11
A021,3,SEC:BET:S11_S12:WB,g11
A021,3,SEC:BET:S12_S13:WB,g11
A012,3,PLAT:BET:H01:WB,g12
A012,3,PLAT:BET:H02:WB,g12
A012,3,PLAT:BET:S15:WB,g12
A012,3,SEC:BET:H01_H02:WB,g12
A012,3,SEC:BET:H02_S15:WB,g12
A009,3,PLAT:ALP:S05:EB,g13
A009,3,PLAT:ALP:S06:EB,g13
A009,3,SEC:ALP:S05_S06:EB,g13
A058,3,PLAT:ALP:H01:WB,g14
A058,3,PLAT:ALP:H02:WB,g14
A058,3,PLAT:ALP:S03:WB,g14
A058,3,PLAT:ALP:S04:WB,g14
A058,3,SEC:ALP:H01_H02:WB,g14
A058,3,SEC:ALP:S03_S04:WB,g14
A058,3,SEC:ALP:S04_H01:WB,g14
A035,3,PLAT:ALP:S02:WB,g15
A035,3,PLAT:ALP:S03:WB,g15
A035,3,PLAT:ALP:S04:WB,g15
A035,3,SEC:ALP:S02_S03:WB,g15
A035,3,SEC:ALP:S03_S04:WB,g15
A048,3,PLAT:BET:S13:EB,g16
A048,3,PLAT:BET:S14:EB,g16
A048,3,SEC:BET:S13_S14:EB,g16
A021,4,PLAT:BET:S11:WB,g17
A021,4,PLAT:BET:S12:WB,g17
A021,4,PLAT:BET:S13:WB,g17
A021,4,SEC:BET:S11_S12:WB,g17
A021,4,SEC:BET:S12_S13:WB,g17
A012,4,PLAT:BET:H01:WB,g18
A012,4,PLAT:BET:H02:WB,g18
A012,4,PLAT:BET:S15:WB,g18
A012,4,SEC:BET:H01_H02:WB,g18
A012,4,SEC:BET:H02_S15:WB,g18
A009,4,PLAT:ALP:S05:EB,g19
A009,4,PLAT:ALP:S06:EB,g19
A009,4,SEC:ALP:S05_S06:EB,g19
A061,4,PLAT:BET:H01:EB,g20
A061,4,PLAT:BET:H02:EB,g20
A061,4,PLAT:BET:S15:EB,g20
A061,4,SEC:BET:H01_H02:EB,g20
A061,4,SEC:BET:H02_S15:EB,g20
A058,4,PLAT:ALP:H01:WB,g21
A058,4,PLAT:ALP:H02:WB,g21
A058,4,PLAT:ALP:S03:WB,g21
A058,4,PLAT:ALP:S04:WB,g21
A058,4,SEC:ALP:H01_H02:WB,g21
A058,4,SEC:ALP:S03_S04:WB,g21
A058,4,SEC:ALP:S04_H01:WB,g21
A021,5,PLAT:BET:S11:WB,g22
A021,5,PLAT:BET:S12:WB,g22
A021,5,PLAT:BET:S13:WB,g22
A021,5,SEC:BET:S11_S12:WB,g22
A021,5,SEC:BET:S12_S13:WB,g22
A012,5,PLAT:BET:H01:WB,g23
A012,5,PLAT:BET:H02:WB,g23
A012,5,PLAT:BET:S15:WB,g23
A012,5,SEC:BET:H01_H02:WB,g23
A012,5,SEC:BET:H02_S15:WB,g23
A009,5,PLAT:ALP:S05:EB,g24
A009,5,PLAT:ALP:S06:EB,g24
A009,5,SEC:ALP:S05_S06:EB,g24
A061,5,PLAT:BET:H01:EB,g25
A061,5,PLAT:BET:H02:EB,g25
A061,5,PLAT:BET:S15:EB,g25
A061,5,SEC:BET:H01_H02:EB,g25
A061,5,SEC:BET:H02_S15:EB,g25
A058,5,PLAT:ALP:H01:WB,g26
A058,5,PLAT:ALP:H02:WB,g26
A058,5,PLAT:ALP:S03:WB,g26
A058,5,PLAT:ALP:S04:WB,g26
A058,5,SEC:ALP:H01_H02:WB,g26
A058,5,SEC:ALP:S03_S04:WB,g26
A058,5,SEC:ALP:S04_H01:WB,g26
A012,6,PLAT:BET:H01:WB,g27
A012,6,PLAT:BET:H02:WB,g27
A012,6,PLAT:BET:S15:WB,g27
A012,6,SEC:BET:H01_H02:WB,g27
A012,6,SEC:BET:H02_S15:WB,g27
A009,6,PLAT:ALP:S05:EB,g28
A009,6,PLAT:ALP:S06:EB,g28
A009,6,SEC:ALP:S05_S06:EB,g28
A061,6,PLAT:BET:H01:EB,g29
A061,6,PLAT:BET:H02:EB,g29
A061,6,PLAT:BET:S15:EB,g29
A061,6,SEC:BET:H01_H02:EB,g29
A061,6,SEC:BET:H02_S15:EB,g29
A058,6,PLAT:ALP:H01:WB,g30
A058,6,PLAT:ALP:H02:WB,g30
A058,6,PLAT:ALP:S03:WB,g30
A058,6,PLAT:ALP:S04:WB,g30
A058,6,SEC:ALP:H01_H02:WB,g30
A058,6,SEC:ALP:S03_S04:WB,g30
A058,6,SEC:ALP:S04_H01:WB,g30
A012,7,PLAT:BET:H01:WB,g31
A012,7,PLAT:BET:H02:WB,g31
A012,7,PLAT:BET:S15:WB,g31
A012,7,SEC:BET:H01_H02:WB,g31
A012,7,SEC:BET:H02_S15:WB,g31
A009,7,PLAT:ALP:S05:EB,g32
A009,7,PLAT:ALP:S06:EB,g32
A009,7,SEC:ALP:S05_S06:EB,g32
A061,7,PLAT:BET:H01:EB,g33
A061,7,PLAT:BET:H02:EB,g33
A061,7,PLAT:BET:S15:EB,g33
A061,7,SEC:BET:H01_H02:EB,g33
A061,7,SEC:BET:H02_S15:EB,g33
A058,7,PLAT:ALP:H01:WB,g34
A058,7,PLAT:ALP:H02:WB,g34
A058,7,PLAT:ALP:S03:WB,g34
A058,7,PLAT:ALP:S04:WB,g34
A058,7,SEC:ALP:H01_H02:WB,g34
A058,7,SEC:ALP:S03_S04:WB,g34
