activity_id,access_seq,week,eclo,access_night
JOB001,1,22,0,1
JOB001,2,23,0,1
JOB002,1,9,0,1
JOB003,1,11,0,1
JOB003,2,12,0,1
JOB003,3,13,0,1
JOB003,4,15,0,1
JOB003,5,16,0,1
JOB004,1,17,0,1
JOB004,2,18,0,1
JOB004,3,19,0,1
JOB006,1,2,0,1
JOB006,2,3,0,1
JOB007,1,15,0,1
JOB007,2,16,0,1
JOB007,3,17,0,2
JOB007,4,18,0,2
JOB007,5,19,0,2
JOB007,6,20,0,1
JOB007,7,21,0,1
JOB008,1,16,0,1
JOB008,2,17,0,2
JOB008,3,18,0,1
JOB008,4,25,0,2
JOB008,5,26,0,1
JOB009,1,2,0,2
JOB009,2,4,0,2
JOB009,3,6,0,2
JOB009,4,8,0,2
JOB009,5,9,0,2
JOB009,6,17,0,1
JOB009,7,18,0,2
JOB011,1,23,0,1
JOB011,2,25,0,1
JOB012,1,2,0,1
JOB012,2,3,0,1
JOB012,3,4,0,1
JOB012,4,6,0,1
JOB012,5,8,0,1
JOB012,6,9,0,1
JOB012,7,10,0,1
JOB013,1,21,0,1
JOB013,2,22,0,1
JOB013,3,23,0,2
JOB013,4,24,0,1
JOB013,5,26,0,2
JOB014,1,13,0,2
JOB014,2,14,0,1
JOB014,3,16,0,1
JOB014,4,18,0,1
JOB014,5,20,0,1
JOB014,6,22,0,1
JOB014,7,23,0,1
JOB017,1,18,0,2
JOB017,2,19,0,1
JOB017,3,20,0,2
JOB017,4,21,0,1
JOB017,5,22,0,2
JOB017,6,23,0,2
JOB017,7,24,0,1
JOB019,1,11,0,1
JOB019,2,13,0,1
JOB020,1,14,0,2
JOB020,2,15,0,1
JOB021,1,8,0,1
JOB021,2,9,0,1
JOB021,3,10,0,1
JOB023,1,21,0,1
JOB023,2,22,0,1
JOB023,3,23,0,1
JOB023,4,24,0,1
JOB023,5,25,0,1
JOB023,6,26,0,1
JOB023,7,27,0,1
JOB025,1,12,0,1
JOB025,2,13,0,1
JOB025,3,15,0,1
JOB025,4,16,0,1
JOB025,5,17,0,1
JOB025,6,18,0,1
JOB025,7,19,0,1
JOB028,1,9,0,1
JOB028,2,10,0,1
JOB031,1,4,0,1
JOB031,2,5,0,1
JOB035,1,1,0,1
JOB035,2,2,0,1
JOB035,3,11,0,1
JOB036,1,22,0,1
JOB036,2,23,0,1
JOB036,3,24,0,1
JOB036,4,25,0,1
JOB036,5,26,0,1
JOB036,6,27,0,1
JOB036,7,28,0,1
JOB037,1,8,0,1
JOB037,2,9,0,1
JOB038,1,14,0,2
JOB038,2,15,0,1
JOB038,3,17,0,1
JOB039,1,8,0,2
JOB039,2,9,0,2
JOB039,3,10,0,1
JOB039,4,11,0,2
JOB039,5,12,0,1
JOB039,6,13,0,1
JOB039,7,14,0,1
JOB040,1,16,0,1
JOB040,2,19,0,1
JOB040,3,20,0,1
JOB040,4,22,0,1
JOB040,5,24,0,1
JOB040,6,26,0,2
JOB040,7,27,0,1
JOB041,1,11,0,1
JOB041,2,13,0,1
JOB042,1,23,0,1
JOB042,2,25,0,1
JOB042,3,26,0,1
JOB043,1,15,0,1
JOB043,2,21,0,1
JOB046,1,14,0,1
JOB046,2,15,0,2
JOB046,3,16,0,2
JOB046,4,17,0,1
JOB046,5,27,0,2
JOB047,1,13,0,1
JOB047,2,14,0,1
JOB048,1,1,0,1
JOB048,2,2,0,1
JOB048,3,3,0,1
JOB049,1,8,0,1
JOB049,2,10,0,1
JOB049,3,11,0,1
JOB049,4,15,0,1
JOB049,5,17,0,1
JOB050,1,19,0,1
JOB050,2,20,0,1
JOB051,1,26,0,1
JOB051,2,27,0,1
JOB054,1,17,0,1
JOB054,2,18,0,1
JOB055,1,25,0,1
JOB056,1,21,0,1
JOB056,2,22,0,2
JOB057,1,17,0,2
JOB057,2,18,0,2
JOB057,3,19,0,1
JOB057,4,20,0,1
JOB057,5,22,0,1
JOB057,6,23,0,1
JOB057,7,24,0,1
JOB058,1,2,0,1
JOB058,2,3,0,1
JOB058,3,4,0,1
JOB058,4,5,0,1
JOB058,5,9,0,1
JOB058,6,10,0,1
JOB058,7,13,0,1
JOB059,1,14,0,2
JOB059,2,15,0,2
JOB059,3,16,0,1
JOB059,4,17,0,1
JOB059,5,18,0,1
JOB059,6,19,0,2
JOB059,7,20,0,1
JOB060,1,14,0,1
JOB060,2,15,0,1
JOB060,3,17,0,2
JOB061,1,4,0,1
JOB061,2,5,0,1
JOB061,3,6,0,1
JOB061,4,7,0,1
JOB061,5,8,0,1
JOB061,6,9,0,1
JOB061,7,10,0,1
JOB063,1,7,0,1
JOB064,1,19,0,1
JOB065,1,19,0,2
JOB066,1,25,0,1
JOB069,1,9,0,1
JOB069,2,26,0,1
JOB070,1,11,0,1
JOB070,2,12,0,1
JOB070,3,19,0,1
JOB070,4,22,0,1
JOB070,5,23,0,1
JOB071,1,21,0,1
JOB072,1,23,0,1
JOB073,1,27,0,1
JOB074,1,21,0,1
JOB075,1,28,0,1
