activity_id,week,location_id,co_share_group
JOB001,22,PLAT:YBET:S15:EB,n3
JOB001,22,PLAT:YBET:S16:EB,n3
JOB001,22,PLAT:YBET:S17:EB,n3
JOB001,22,SEC:YBET:S15_S16:EB,n3
JOB001,22,SEC:YBET:S16_S17:EB,n3
JOB001,23,PLAT:YBET:S15:EB,n2
JOB001,23,PLAT:YBET:S16:EB,n2
JOB001,23,PLAT:YBET:S17:EB,n2
JOB001,23,SEC:YBET:S15_S16:EB,n2
JOB001,23,SEC:YBET:S16_S17:EB,n2
JOB002,9,PLAT:YBET:S11:WB,n1
JOB002,9,PLAT:YBET:S12:WB,n1
JOB002,9,PLAT:YBET:S13:WB,n1
JOB002,9,SEC:YBET:S11_S12:WB,n1
JOB002,9,SEC:YBET:S12_S13:WB,n1
JOB003,11,PLAT:YBET:H01:EB,n1
JOB003,11,PLAT:YBET:H02:EB,n1
JOB003,11,PLAT:YBET:S15:EB,n1
JOB003,11,PLAT:YBET:S16:EB,n1
JOB003,11,SEC:YBET:H01_H02:EB,n1
JOB003,11,SEC:YBET:H02_S15:EB,n1
JOB003,11,SEC:YBET:S15_S16:EB,n1
JOB003,12,PLAT:YBET:H01:EB,n1
JOB003,12,PLAT:YBET:H02:EB,n1
JOB003,12,PLAT:YBET:S15:EB,n1
JOB003,12,PLAT:YBET:S16:EB,n1
JOB003,12,SEC:YBET:H01_H02:EB,n1
JOB003,12,SEC:YBET:H02_S15:EB,n1
JOB003,12,SEC:YBET:S15_S16:EB,n1
JOB003,13,PLAT:YBET:H01:EB,n7
JOB003,13,PLAT:YBET:H02:EB,n7
JOB003,13,PLAT:YBET:S15:EB,n7
JOB003,13,PLAT:YBET:S16:EB,n7
JOB003,13,SEC:YBET:H01_H02:EB,n7
JOB003,13,SEC:YBET:H02_S15:EB,n7
JOB003,13,SEC:YBET:S15_S16:EB,n7
JOB003,15,PLAT:YBET:H01:EB,n1
JOB003,15,PLAT:YBET:H02:EB,n1
JOB003,15,PLAT:YBET:S15:EB,n1
JOB003,15,PLAT:YBET:S16:EB,n1
JOB003,15,SEC:YBET:H01_H02:EB,n1
JOB003,15,SEC:YBET:H02_S15:EB,n1
JOB003,15,SEC:YBET:S15_S16:EB,n1
JOB003,16,PLAT:YBET:H01:EB,n3
JOB003,16,PLAT:YBET:H02:EB,n3
JOB003,16,PLAT:YBET:S15:EB,n3
JOB003,16,PLAT:YBET:S16:EB,n3
JOB003,16,SEC:YBET:H01_H02:EB,n3
JOB003,16,SEC:YBET:H02_S15:EB,n3
JOB003,16,SEC:YBET:S15_S16:EB,n3
JOB004,17,PLAT:XALP:H01:EB,n1
JOB004,17,PLAT:XALP:S03:EB,n1
JOB004,17,PLAT:XALP:S04:EB,n1
JOB004,17,SEC:XALP:S03_S04:EB,n1
JOB004,17,SEC:XALP:S04_H01:EB,n1
JOB004,18,PLAT:XALP:H01:EB,n4
JOB004,18,PLAT:XALP:S03:EB,n4
JOB004,18,PLAT:XALP:S04:EB,n4
JOB004,18,SEC:XALP:S03_S04:EB,n4
JOB004,18,SEC:XALP:S04_H01:EB,n4
JOB004,19,PLAT:XALP:H01:EB,n1
JOB004,19,PLAT:XALP:S03:EB,n1
JOB004,19,PLAT:XALP:S04:EB,n1
JOB004,19,SEC:XALP:S03_S04:EB,n1
JOB004,19,SEC:XALP:S04_H01:EB,n1
JOB006,2,PLAT:XALP:H01:WB,n1
JOB006,2,PLAT:XALP:H02:WB,n1
JOB006,2,PLAT:XALP:S03:WB,n1
JOB006,2,PLAT:XALP:S04:WB,n1
JOB006,2,SEC:XALP:H01_H02:WB,n1
JOB006,2,SEC:XALP:S03_S04:WB,n1
JOB006,2,SEC:XALP:S04_H01:WB,n1
JOB006,3,PLAT:XALP:H01:WB,n1
JOB006,3,PLAT:XALP:H02:WB,n1
JOB006,3,PLAT:XALP:S03:WB,n1
JOB006,3,PLAT:XALP:S04:WB,n1
JOB006,3,SEC:XALP:H01_H02:WB,n1
JOB006,3,SEC:XALP:S03_S04:WB,n1
JOB006,3,SEC:XALP:S04_H01:WB,n1
JOB007,15,PLAT:YBET:H01:EB,n1
JOB007,15,PLAT:YBET:H02:EB,n1
JOB007,15,SEC:YBET:H01_H02:EB,n1
JOB007,16,PLAT:YBET:H01:EB,n3
JOB007,16,PLAT:YBET:H02:EB,n3
JOB007,16,SEC:YBET:H01_H02:EB,n3
JOB007,17,PLAT:YBET:H01:EB,n4
JOB007,17,PLAT:YBET:H02:EB,n4
JOB007,17,SEC:YBET:H01_H02:EB,n4
JOB007,18,PLAT:YBET:H01:EB,n6
JOB007,18,PLAT:YBET:H02:EB,n6
JOB007,18,SEC:YBET:H01_H02:EB,n6
JOB007,19,PLAT:YBET:H01:EB,n7
JOB007,19,PLAT:YBET:H02:EB,n7
JOB007,19,SEC:YBET:H01_H02:EB,n7
JOB007,20,PLAT:YBET:H01:EB,n3
JOB007,20,PLAT:YBET:H02:EB,n3
JOB007,20,SEC:YBET:H01_H02:EB,n3
JOB007,21,PLAT:YBET:H01:EB,n6
JOB007,21,PLAT:YBET:H02:EB,n6
JOB007,21,SEC:YBET:H01_H02:EB,n6
JOB008,16,PLAT:YBET:S17:EB,n1
JOB008,16,PLAT:YBET:S18:EB,n1
JOB008,16,SEC:YBET:S17_S18:EB,n1
JOB008,17,PLAT:YBET:S17:EB,n2
JOB008,17,PLAT:YBET:S18:EB,n2
JOB008,17,SEC:YBET:S17_S18:EB,n2
JOB008,18,PLAT:YBET:S17:EB,n1
JOB008,18,PLAT:YBET:S18:EB,n1
JOB008,18,SEC:YBET:S17_S18:EB,n1
JOB008,25,PLAT:YBET:S17:EB,n5
JOB008,25,PLAT:YBET:S18:EB,n5
JOB008,25,SEC:YBET:S17_S18:EB,n5
JOB008,26,PLAT:YBET:S17:EB,n1
JOB008,26,PLAT:YBET:S18:EB,n1
JOB008,26,SEC:YBET:S17_S18:EB,n1
JOB009,2,PLAT:XALP:S05:EB,n6
JOB009,2,PLAT:XALP:S06:EB,n6
JOB009,2,SEC:XALP:S05_S06:EB,n6
JOB009,4,PLAT:XALP:S05:EB,n6
JOB009,4,PLAT:XALP:S06:EB,n6
JOB009,4,SEC:XALP:S05_S06:EB,n6
JOB009,6,PLAT:XALP:S05:EB,n6
JOB009,6,PLAT:XALP:S06:EB,n6
JOB009,6,SEC:XALP:S05_S06:EB,n6
JOB009,8,PLAT:XALP:S05:EB,n2
JOB009,8,PLAT:XALP:S06:EB,n2
