location_id,location_kind,line_code,bound,supply_capacity
SEC:XALP:S01_S02:EB,tunnel sector,XALP,EB,4
SEC:XALP:S01_S02:WB,tunnel sector,XALP,WB,4
SEC:XALP:S02_S03:EB,tunnel sector,XALP,EB,4
SEC:XALP:S02_S03:WB,tunnel sector,XALP,WB,4
SEC:XALP:S03_S04:EB,tunnel sector,XALP,EB,4
SEC:XALP:S03_S04:WB,tunnel sector,XALP,WB,4
SEC:XALP:S04_H01:EB,tunnel sector,XALP,EB,2
SEC:XALP:S04_H01:WB,tunnel sector,XALP,WB,2
SEC:XALP:H01_H02:EB,tunnel sector,XALP,EB,1
SEC:XALP:H01_H02:WB,tunnel sector,XALP,WB,1
SEC:XALP:H02_S05:EB,tunnel sector,XALP,EB,2
SEC:XALP:H02_S05:WB,tunnel sector,XALP,WB,2
SEC:XALP:S05_S06:EB,tunnel sector,XALP,EB,4
SEC:XALP:S05_S06:WB,tunnel sector,XALP,WB,4
SEC:XALP:S06_S07:EB,tunnel sector,XALP,EB,4
SEC:XALP:S06_S07:WB,tunnel sector,XALP,WB,4
SEC:XALP:S07_S08:EB,tunnel sector,XALP,EB,4
SEC:XALP:S07_S08:WB,tunnel sector,XALP,WB,4
SEC:YBET:S11_S12:EB,tunnel sector,YBET,EB,4
SEC:YBET:S11_S12:WB,tunnel sector,YBET,WB,4
SEC:YBET:S12_S13:EB,tunnel sector,YBET,EB,4
SEC:YBET:S12_S13:WB,tunnel sector,YBET,WB,4
SEC:YBET:S13_S14:EB,tunnel sector,YBET,EB,4
SEC:YBET:S13_S14:WB,tunnel sector,YBET,WB,4
SEC:YBET:S14_H01:EB,tunnel sector,YBET,EB,2
SEC:YBET:S14_H01:WB,tunnel sector,YBET,WB,2
SEC:YBET:H01_H02:EB,tunnel sector,YBET,EB,1
SEC:YBET:H01_H02:WB,tunnel sector,YBET,WB,1
SEC:YBET:H02_S15:EB,tunnel sector,YBET,EB,2
SEC:YBET:H02_S15:WB,tunnel sector,YBET,WB,2
SEC:YBET:S15_S16:EB,tunnel sector,YBET,EB,4
SEC:YBET:S15_S16:WB,tunnel sector,YBET,WB,4
SEC:YBET:S16_S17:EB,tunnel sector,YBET,EB,4
SEC:YBET:S16_S17:WB,tunnel sector,YBET,WB,4
SEC:YBET:S17_S18:EB,tunnel sector,YBET,EB,4
SEC:YBET:S17_S18:WB,tunnel sector,YBET,WB,4
PLAT:XALP:S01:EB,platform sector,XALP,EB,2
PLAT:XALP:S01:WB,platform sector,XALP,WB,2
PLAT:XALP:S02:EB,platform sector,XALP,EB,2
PLAT:XALP:S02:WB,platform sector,XALP,WB,2
PLAT:XALP:S03:EB,platform sector,XALP,EB,2
PLAT:XALP:S03:WB,platform sector,XALP,WB,2
PLAT:XALP:S04:EB,platform sector,XALP,EB,2
PLAT:XALP:S04:WB,platform sector,XALP,WB,2
PLAT:XALP:H01:EB,platform sector,XALP,EB,1
PLAT:XALP:H01:WB,platform sector,XALP,WB,1
PLAT:XALP:H02:EB,platform sector,XALP,EB,1
PLAT:XALP:H02:WB,platform sector,XALP,WB,1
PLAT:XALP:S05:EB,platform sector,XALP,EB,2
PLAT:XALP:S05:WB,platform sector,XALP,WB,2
PLAT:XALP:S06:EB,platform sector,XALP,EB,2
PLAT:XALP:S06:WB,platform sector,XALP,WB,2
PLAT:XALP:S07:EB,platform sector,XALP,EB,2
PLAT:XALP:S07:WB,platform sector,XALP,WB,2
PLAT:XALP:S08:EB,platform sector,XALP,EB,2
PLAT:XALP:S08:WB,platform sector,XALP,WB,2
PLAT:YBET:S11:EB,platform sector,YBET,EB,2
PLAT:YBET:S11:WB,platform sector,YBET,WB,2
PLAT:YBET:S12:EB,platform sector,YBET,EB,2
PLAT:YBET:S12:WB,platform sector,YBET,WB,2
PLAT:YBET:S13:EB,platform sector,YBET,EB,2
PLAT:YBET:S13:WB,platform sector,YBET,WB,2
PLAT:YBET:S14:EB,platform sector,YBET,EB,2
PLAT:YBET:S14:WB,platform sector,YBET,WB,2
PLAT:YBET:H01:EB,platform sector,YBET,EB,1
PLAT:YBET:H01:WB,platform sector,YBET,WB,1
PLAT:YBET:H02:EB,platform sector,YBET,EB,1
PLAT:YBET:H02:WB,platform sector,YBET,WB,1
PLAT:YBET:S15:EB,platform sector,YBET,EB,2
PLAT:YBET:S15:WB,platform sector,YBET,WB,2
PLAT:YBET:S16:EB,platform sector,YBET,EB,2
PLAT:YBET:S16:WB,platform sector,YBET,WB,2
PLAT:YBET:S17:EB,platform sector,YBET,EB,2
PLAT:YBET:S17:WB,platform sector,YBET,WB,2
PLAT:YBET:S18:EB,platform sector,YBET,EB,2
PLAT:YBET:S18:WB,platform sector,YBET,WB,2
